" 3D Run ID","D","a","Tables\0D Results\T_diameter"
"1","300","400","0.959505"
"2","311","400","0.950579"
"3","322","400","0.965931"
"4","333","400","0.872914"
"5","344","400","0.887812"
"6","355","400","0.0511384"
"7","366","400","0.964821"
"8","377","400","0.972313"
"9","388","400","0.984109"
"10","399","400","0.980422"
"11","300","411.111","0.96236"
"12","311","411.111","0.955875"
"13","322","411.111","0.97665"
"14","333","411.111","0.881443"
"15","344","411.111","0.892071"
"16","355","411.111","0.421287"
"17","366","411.111","0.963733"
"18","377","411.111","0.969768"
"19","388","411.111","0.920159"
"20","399","411.111","0.985641"
"21","300","422.222","0.965697"
"22","311","422.222","0.960219"
"23","322","422.222","0.985823"
"24","333","422.222","0.88844"
"25","344","422.222","0.897348"
"26","355","422.222","0.571133"
"27","366","422.222","0.966497"
"28","377","422.222","0.968562"
"29","388","422.222","0.937546"
"30","399","422.222","0.984403"
"31","300","433.333","0.967917"
"32","311","433.333","0.962922"
"33","322","433.333","0.990712"
"34","333","433.333","0.89317"
"35","344","433.333","0.900237"
"36","355","433.333","0.61448"
"37","366","433.333","0.970677"
"38","377","433.333","0.970578"
"39","388","433.333","0.962087"
"40","399","433.333","0.940948"
"41","300","444.444","0.970406"
"42","311","444.444","0.967575"
"43","322","444.444","0.98245"
"44","333","444.444","0.898381"
"45","344","444.444","0.90504"
"46","355","444.444","0.640283"
"47","366","444.444","0.972114"
"48","377","444.444","0.970082"
"49","388","444.444","0.962249"
"50","399","444.444","0.492001"
"51","300","455.556","0.972752"
"52","311","455.556","0.970457"
"53","322","455.556","0.935131"
"54","333","455.556","0.901116"
"55","344","455.556","0.909298"
"56","355","455.556","0.637125"
"57","366","455.556","0.976003"
"58","377","455.556","0.97019"
"59","388","455.556","0.961331"
"60","399","455.556","0.394947"
"61","300","466.667","0.975095"
"62","311","466.667","0.975125"
"63","322","466.667","0.753032"
"64","333","466.667","0.904079"
"65","344","466.667","0.910191"
"66","355","466.667","0.62394"
"67","366","466.667","0.979592"
"68","377","466.667","0.971292"
"69","388","466.667","0.95867"
"70","399","466.667","0.64756"
"71","300","477.778","0.977478"
"72","311","477.778","0.978093"
"73","322","477.778","0.308053"
"74","333","477.778","0.907504"
"75","344","477.778","0.910363"
"76","355","477.778","0.592398"
"77","366","477.778","0.983237"
"78","377","477.778","0.972646"
"79","388","477.778","0.954317"
"80","399","477.778","0.709644"
"81","300","488.889","0.978734"
"82","311","488.889","0.982238"
"83","322","488.889","0.192817"
"84","333","488.889","0.913979"
"85","344","488.889","0.9108"
"86","355","488.889","0.561285"
"87","366","488.889","0.986169"
"88","377","488.889","0.97176"
"89","388","488.889","0.951069"
"90","399","488.889","0.715567"
"91","300","500","0.981829"
"92","311","500","0.985702"
"93","322","500","0.49504"
"94","333","500","0.915791"
"95","344","500","0.908926"
"96","355","500","0.498914"
"97","366","500","0.987332"
"98","377","500","0.972154"
"99","388","500","0.943221"
"100","399","500","0.699958"
"101","345","433","0.899158"
"102","345","434.158","0.899683"
"103","345","435.316","0.900341"
"104","345","436.474","0.902649"
"105","345","437.632","0.903932"
"106","345","438.789","0.903308"
"107","345","439.947","0.901879"
"108","345","441.105","0.902564"
"109","345","442.263","0.902726"
"110","345","443.421","0.903592"
"111","345","444.579","0.904261"
"112","345","445.737","0.903823"
"113","345","446.895","0.901472"
"114","345","448.053","0.903262"
"115","345","449.211","0.900773"
"116","345","450.368","0.903822"
"117","345","451.526","0.905015"
"118","345","452.684","0.903595"
"119","345","453.842","0.903851"
"120","345","455","0.902891"
"121","350","433","0.882833"
"122","350","434.158","0.883253"
"123","350","435.316","0.882392"
"124","350","436.474","0.883657"
"125","350","437.632","0.882491"
"126","350","438.789","0.88252"
"127","350","439.947","0.886355"
"128","350","441.105","0.886811"
"129","350","442.263","0.88498"
